Brazil,Rubem Fonseca
Brazil,Clarice Lispector
Brazil,Paulo Freire
Brazil,Jorge Amado
Brazil,João Guimarães Rosa
Brazil,Paulo Coehlo
Brazil,Machado de Assis,Dom Casmurro
Brazil,Chico Buarque,Budapest
Brunei,Eva Maria Kershaw,Dusun Folktales: A Collection of Eighty-eight Folktales in the Dusun Language of Brunei with English Translations
Brunei,Christopher Sun (aka Sun Tze Yun),Four Kings
Bulgaria,Elias Canetti,The Tongue Set Free
Bulgaria,Kalin Terziyski,Is there Anybody to Love You?
Bulgaria,Georgi Gospodinov,Natural Novel
Bulgaria,Kapka Kassabova,Street Without a Name
Bulgaria,Anton Donchev,Time of Parting
Bulgaria,Milen Ruskov,Thrown into Nature
Bulgaria,Emiliyan Stanev,The Peach Thief
Burkina Faso,Sarah Bouyain
Burkina Faso,Frédéric Pacéré Titinga
Burkina Faso,Nobert Zongo,The Parachute Drop
Burundi,Marie-Therese Toyi,Weep Not Refugee
Cambodia,U Sam Oeur,Crossing Three Wildernesses
Cambodia,Alice Pung,Unpolished Gem
Cambodia,Vaddey Ratner,In the Shadow of the Banyan
Cambodia,Loung Ung
Cambodia,Haing S Ngor
Cambodia,Bree Lafreniere and Daran Kravanh,Music Through Dark
Cameroon,Mongo Beti,La Pauvre Christ de Bomba (The Poor Christ of Bomba)
Cameroon,Mongo Beti,Mission to Kala
Cameroon,Beatrice Fri Bime,Mystique: a collection of lake myths
Canada,Robertson Davies
Canada,Nicole Brossard,Mauve Desert
Canada,Alice Munro
Canada,Lauren B Davis,Our Daily Bread
Canada,Darcie Friesen Hossack,Mennonites Don’t Dance
Canada,Anne Michaels,Fugitive Pieces
Canada,Thomas King,Green Grass Running Water
Canada,Elizabeth Hay,Late Nights on Air
Canada,Michael Ondaatje,In the Skin of a Lion
Canada, Elizabeth Hay,Late Nights on Air
Cape Verde,Germano Almeida,The Last Will & Testament of Senhor da Silva Araújo
Central African Republic,Bamboté,Dada’s Travels from Ouadda to Bangui
Chad,Joseph Brahim Seid,Told by Starlight in Chad
Chile,Roberto Bolano, The Savage Detectives
Chile,Alberto Fuguet
Chile,María Luisa Bombal
Chile,Luis Sepúlveda
Chile,Antonio Skármeta
Chile,Diamela Eltit
Chile,Alejandro Zambra, The Private Lives of Trees
Chile,Alejandro Zambra, Bonsai
Chile,Isabel Allende, The House of the Spirits (trans. Magda Bodin)
China, Zhu Wen,I Love Dollars
China,Jian Rong, Wolf Totem
China,Ma Jian, Stick Out Your Tongue
China,Zhu Wen
China,Zhang Yueran
China,Han Dong,Banished!
China,Yan Ge
China,Xialou Guo,Village of Stone
China,Mian Mian,Candy
China,Wang Shuo,Playing for Thrills
China,Chen Xiwo,I Love My Mum
China,Xu Zechen
China,Xue Xinran,The Good Women of China
China,Xue Xinran,Message from an Unknown Chinese Mother
China,Xue Xinran,China Witness
China,Ma Jian,Red Dust
China,Cao Xuequin,Dream of the Red Chamber
China,Wu Cheng’en,Journey to the West
China,Zhang Yueran
China,Chan Koonchung,The Fat Years (trans. Michael Duke)
China,Yan Lianke,Dream of Ding Village
China,Mo Yan,The Garlic Ballads
China,MoYan,Shifu You’ll Do Anything for a Laugh
Colombia,Evelio Rosero,The Armies
Colombia,Pilar Quintana,Tickles in the Tongue
Colombia,Juan Gabriel Vasquez,The Informers
Colombia,Eduardo Garcia Aguilar,Boulevard of Heroes
Colombia,Fernando Vallejo,Our Lady of the Assassins
Colombia,Hector Abad Faciolince
Colombia,Laura Restrepo
Colombia,Fernando Vallejo
Comoros,Mohammed Toihiri,The Kafir of Karthala
Democratic Republic of Congo,Amba Bongo
Democratic Republic of Congo,Frederick Yamusangie,Full Circle
Republic of Congo,Emmanuel Dongala,Johnny Mad Dog
Republic of Congo,Emmanuel Dongala,Little Boys Come from the Stars
Republic of Congo,Sony Lab’ou Tansi,The Antipeople
Costa Rica,Carmen Naranjo
Costa Rica,Anacristina Rossi,The Madwoman of Gandoca
Costa Rica,ed. Barbara Ras,Costa Rica: A Traveler’s Literary Companion
Costa Rica,Oscar Nunez Olivas,Cadence of the Moon
Côte d’Ivoire,Bernard Dadié Climbié
Côte d’Ivoire,Ahmadou Kourouma,Allah is not Obliged
Croatia,Miroslav Krleža,On the Edge of Reason
Croatia,Dubravka Ugrĕsic,The Ministry of Pain
Croatia,Dubravka Ugrĕsic,In the Jaws of Life
Croatia,Slavenka Drakulic,A Guided Tour through the Museum of Communism
Croatia,Marija Jurić Zagorka,Daughter of the Lotrščak
Croatia,Marija Jurić Zagorka,A Stone on the Road
Cuba,Mayra Montero,Dancing to Almendra
Cuba,Ena Lucia Portela,One Hundred Bottles
Cuba,Alejo Carpentier
Cuba,Reinaldo Arenas
Cuba,Antonio José Ponte
Cuba,Leonardo Padura
Cuba,Reinaldo Arenas
Cuba,Leonardo Padura Fuentes
Cuba,Virgilio Piñera
Cuba,José Lezama Lima
Cuba,Severo Sarduy
Cuba,Guillermo Cabrera,Infante
Cuba,Lydia Cabrera,Afro-Cuban Tales
Cyprus,Anna Marangou
Cyprus,Andreas Coutas (trans. Xenia Andreou),Famagusta: the Story of the City
Cyprus,Eve Makis
Cyprus,Christy Lefteri,A Watermelon a Fish and a Bible
Cyprus,Panos Ioannides,Gregory and other stories
Cyprus,Elmos Konis,Magnette
Cyprus,Nora Nadjarian,Ledra Street
Czech Republic,Bohumil Hrabal,Too Loud a Solitude
